timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,size,configuration_naming_context,current_time,default_naming_context,dns_host_name,domain_controller_functionality,domain_functionality,ds_service_name,forest_functionality,highest_committed_usn,is_global_catalog_ready,is_synchronized,ldap_service_name,naming_contexts,root_domain_naming_context,schema_naming_context,server_name,subschema_subentry,supported_capabilities,supported_control,supported_ldap_policies,supported_ldap_version,supported_sasl_mechanisms
3/24/2018 5:09,117.4.243.214,udp,389,localhost,ldap,7552,VN,HA NOI,HANOI,0,0,2890,"CN=Configuration,DC=sunlines,DC=vn",20180324050934.0Z,"DC=sunlines,DC=vn",SERVER01.sunlines.vn,6,4,"CN=Configuration,DC=sunlines,DC=vn",4,251347,TRUE,TRUE,sunlines.vn:server01$@SUNLINES.VN,"DC=sunlines,DC=vn|CN=Configuration,DC=sunlines,DC=vn|CN=Schema,CN=Configuration,DC=sunlines,DC=vn|DC=DomainDnsZones,DC=sunlines,DC=vn|DC=ForestDnsZones,DC=sunlines,DC=vn","DC=sunlines,DC=vn","CN=Schema,CN=Configuration,DC=sunlines,DC=vn","CN=SERVER01,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=sunlines,DC=vn","CN=Aggregate,CN=Schema,CN=Configuration,DC=sunlines,DC=vn",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:10,45.119.83.23,udp,389,,ldap,131386,VN,HA NOI,HANOI,0,0,2891,"CN=Configuration,DC=BKSICT,DC=COM",20180324050958.0Z,"DC=BKSICT,DC=COM",BKSICTSERVER.BKSICT.COM,6,6,"CN=Configuration,DC=BKSICT,DC=COM",6,174332,TRUE,TRUE,BKSICT.COM:bksictserver$@BKSICT.COM,"DC=BKSICT,DC=COM|CN=Configuration,DC=BKSICT,DC=COM|CN=Schema,CN=Configuration,DC=BKSICT,DC=COM|DC=DomainDnsZones,DC=BKSICT,DC=COM|DC=ForestDnsZones,DC=BKSICT,DC=COM","DC=BKSICT,DC=COM","CN=Schema,CN=Configuration,DC=BKSICT,DC=COM","CN=BKSICTSERVER,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=BKSICT,DC=COM","CN=Aggregate,CN=Schema,CN=Configuration,DC=BKSICT,DC=COM",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:12,171.244.0.120,udp,389,,ldap,38731,VN,HA NOI,HANOI,0,0,2946,"CN=Configuration,DC=office,DC=com,DC=vn",20180324051702.0Z,"DC=office,DC=com,DC=vn",VTDC2.office.com.vn,6,6,"CN=Configuration,DC=office,DC=com,DC=vn",6,10536091,TRUE,TRUE,office.com.vn:vtdc2$@OFFICE.COM.VN,"DC=office,DC=com,DC=vn|CN=Configuration,DC=office,DC=com,DC=vn|CN=Schema,CN=Configuration,DC=office,DC=com,DC=vn|DC=DomainDnsZones,DC=office,DC=com,DC=vn|DC=ForestDnsZones,DC=office,DC=com,DC=vn","DC=office,DC=com,DC=vn","CN=Schema,CN=Configuration,DC=office,DC=com,DC=vn","CN=VTDC2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=office,DC=com,DC=vn","CN=Aggregate,CN=Schema,CN=Configuration,DC=office,DC=com,DC=vn",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:12,115.77.189.10,udp,389,,ldap,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2963,"CN=Configuration,DC=vietstar,DC=local",20180324051223.0Z,"DC=vietstar,DC=local",WIN-UM3TO6DG3BN.vietstar.local,6,6,"CN=Configuration,DC=vietstar,DC=local",6,138413,TRUE,TRUE,vietstar.local:win-um3to6dg3bn$@VIETSTAR.LOCAL,"DC=vietstar,DC=local|CN=Configuration,DC=vietstar,DC=local|CN=Schema,CN=Configuration,DC=vietstar,DC=local|DC=DomainDnsZones,DC=vietstar,DC=local|DC=ForestDnsZones,DC=vietstar,DC=local","DC=vietstar,DC=local","CN=Schema,CN=Configuration,DC=vietstar,DC=local","CN=WIN-UM3TO6DG3BN,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=vietstar,DC=local","CN=Aggregate,CN=Schema,CN=Configuration,DC=vietstar,DC=local",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:12,123.31.20.134,udp,389,localhost,ldap,45899,VN,HA NOI,HANOI,0,0,2827,"CN=Configuration,DC=egame,DC=vn",20180324050507.0Z,"DC=egame,DC=vn",APP.egame.vn,6,6,"CN=Configuration,DC=egame,DC=vn",6,14916092,TRUE,TRUE,egame.vn:app$@EGAME.VN,"DC=egame,DC=vn|CN=Configuration,DC=egame,DC=vn|CN=Schema,CN=Configuration,DC=egame,DC=vn|DC=DomainDnsZones,DC=egame,DC=vn|DC=ForestDnsZones,DC=egame,DC=vn","DC=egame,DC=vn","CN=Schema,CN=Configuration,DC=egame,DC=vn","CN=APP,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=egame,DC=vn","CN=Aggregate,CN=Schema,CN=Configuration,DC=egame,DC=vn",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:13,118.69.67.205,udp,389,,ldap,18403,VN,HA NOI,HANOI,518111,737401,2451,"CN=Configuration,DC=iccjsc,DC=local",20180324050530.0Z,"DC=iccjsc,DC=local",SV2.iccjsc.local,3,3,"CN=Configuration,DC=iccjsc,DC=local",3,11783200,TRUE,TRUE,iccjsc.local:sv2$@ICCJSC.LOCAL,"DC=iccjsc,DC=local|CN=Configuration,DC=iccjsc,DC=local|CN=Schema,CN=Configuration,DC=iccjsc,DC=local|DC=DomainDnsZones,DC=iccjsc,DC=local|DC=ForestDnsZones,DC=iccjsc,DC=local","DC=iccjsc,DC=local","CN=Schema,CN=Configuration,DC=iccjsc,DC=local","CN=SV2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=iccjsc,DC=local","CN=Aggregate,CN=Schema,CN=Configuration,DC=iccjsc,DC=local",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026,MaxPoolThreads|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MaxNotificationPerConn|MaxValRange|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:14,45.122.251.180,udp,389,static.cmcti.vn,ldap,45903,VN,BINH DUONG,THU DAU MOT,0,0,2853,"CN=Configuration,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3}",20180324051344.0Z,,ViewConnect.nammy.edu.vn,7,,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3},2,66340,,TRUE,,"CN=Configuration,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3}|CN=Schema,CN=Configuration,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3}|DC=vdi,DC=vmware,DC=int",,"CN=Schema,CN=Configuration,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3}",,"CN=Aggregate,CN=Schema,CN=Configuration,CN={F842B6C3-00E4-4C90-AD13-C8CAC29C36C3}",1.2.840.113556.1.4.1851|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237|1.2.840.113556.1.4.1880,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256|1.2.840.113556.1.4.2309,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxDirSyncDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:18,210.245.95.193,udp,389,,ldap,18403,VN,HA NOI,HANOI,518111,737401,2887,"CN=Configuration,DC=SQL,DC=Local",20180324123204.0Z,"DC=SQL,DC=Local",WIN-LH7NK4SSKS2.SQL.Local,6,6,"CN=Configuration,DC=SQL,DC=Local",6,99875,TRUE,TRUE,SQL.Local:win-lh7nk4ssks2$@SQL.LOCAL,"DC=SQL,DC=Local|CN=Configuration,DC=SQL,DC=Local|CN=Schema,CN=Configuration,DC=SQL,DC=Local|DC=DomainDnsZones,DC=SQL,DC=Local|DC=ForestDnsZones,DC=SQL,DC=Local","DC=SQL,DC=Local","CN=Schema,CN=Configuration,DC=SQL,DC=Local","CN=WIN-LH7NK4SSKS2,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=SQL,DC=Local","CN=Aggregate,CN=Schema,CN=Configuration,DC=SQL,DC=Local",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:19,113.161.55.222,udp,389,static.vnpt.vn,ldap,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,2820,"CN=Configuration,DC=truongminh9999,DC=ddns,DC=net",20180324051855.0Z,"DC=truongminh9999,DC=ddns,DC=net",truongminh.truongminh9999.ddns.net,4,2,"CN=Configuration,DC=truongminh9999,DC=ddns,DC=net",2,3711901,TRUE,TRUE,truongminh9999.ddns.net:truongminh$@TRUONGMINH9999.DDNS.NET,"DC=truongminh9999,DC=ddns,DC=net|CN=Configuration,DC=truongminh9999,DC=ddns,DC=net|CN=Schema,CN=Configuration,DC=truongminh9999,DC=ddns,DC=net|DC=DomainDnsZones,DC=truongminh9999,DC=ddns,DC=net|DC=ForestDnsZones,DC=truongminh9999,DC=ddns,DC=net","DC=truongminh9999,DC=ddns,DC=net","CN=Schema,CN=Configuration,DC=truongminh9999,DC=ddns,DC=net","CN=TRUONGMINH,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=truongminh9999,DC=ddns,DC=net","CN=Aggregate,CN=Schema,CN=Configuration,DC=truongminh9999,DC=ddns,DC=net",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066,MaxPoolThreads|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxQueryDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
3/24/2018 5:20,118.70.128.85,udp,389,,ldap,18403,VN,HA NOI,HANOI,518111,737401,3030,"CN=Configuration,DC=euniversity,DC=local",20180324052004.0Z,"DC=euniversity,DC=local",DEVSERVER.euniversity.local,7,7,"CN=Configuration,DC=euniversity,DC=local",7,1979300,TRUE,TRUE,euniversity.local:devserver$@EUNIVERSITY.LOCAL,"DC=euniversity,DC=local|CN=Configuration,DC=euniversity,DC=local|CN=Schema,CN=Configuration,DC=euniversity,DC=local|DC=DomainDnsZones,DC=euniversity,DC=local|DC=ForestDnsZones,DC=euniversity,DC=local","DC=euniversity,DC=local","CN=Schema,CN=Configuration,DC=euniversity,DC=local","CN=DEVSERVER,CN=Servers,CN=Default-First-Site-Name,CN=Sites,CN=Configuration,DC=euniversity,DC=local","CN=Aggregate,CN=Schema,CN=Configuration,DC=euniversity,DC=local",1.2.840.113556.1.4.800|1.2.840.113556.1.4.1670|1.2.840.113556.1.4.1791|1.2.840.113556.1.4.1935|1.2.840.113556.1.4.2080|1.2.840.113556.1.4.2237,1.2.840.113556.1.4.319|1.2.840.113556.1.4.801|1.2.840.113556.1.4.473|1.2.840.113556.1.4.528|1.2.840.113556.1.4.417|1.2.840.113556.1.4.619|1.2.840.113556.1.4.841|1.2.840.113556.1.4.529|1.2.840.113556.1.4.805|1.2.840.113556.1.4.521|1.2.840.113556.1.4.970|1.2.840.113556.1.4.1338|1.2.840.113556.1.4.474|1.2.840.113556.1.4.1339|1.2.840.113556.1.4.1340|1.2.840.113556.1.4.1413|2.16.840.1.113730.3.4.9|2.16.840.1.113730.3.4.10|1.2.840.113556.1.4.1504|1.2.840.113556.1.4.1852|1.2.840.113556.1.4.802|1.2.840.113556.1.4.1907|1.2.840.113556.1.4.1948|1.2.840.113556.1.4.1974|1.2.840.113556.1.4.1341|1.2.840.113556.1.4.2026|1.2.840.113556.1.4.2064|1.2.840.113556.1.4.2065|1.2.840.113556.1.4.2066|1.2.840.113556.1.4.2090|1.2.840.113556.1.4.2205|1.2.840.113556.1.4.2204|1.2.840.113556.1.4.2206|1.2.840.113556.1.4.2211|1.2.840.113556.1.4.2239|1.2.840.113556.1.4.2255|1.2.840.113556.1.4.2256|1.2.840.113556.1.4.2309,MaxPoolThreads|MaxPercentDirSyncRequests|MaxDatagramRecv|MaxReceiveBuffer|InitRecvTimeout|MaxConnections|MaxConnIdleTime|MaxPageSize|MaxBatchReturnMessages|MaxQueryDuration|MaxDirSyncDuration|MaxTempTableSize|MaxResultSetSize|MinResultSets|MaxResultSetsPerConn|MaxNotificationPerConn|MaxValRange|MaxValRangeTransitive|ThreadMemoryLimit|SystemMemoryLimitPercent,3|2,GSSAPI|GSS-SPNEGO|EXTERNAL|DIGEST-MD5
