timestamp,ip,protocol,port,hostname,tag,asn,geo,region,city,naics,sic,mdns_name,mdns_ipv4,mdns_ipv6,services,workstation_name,workstation_ipv4,workstation_ipv6,workstation_info,http_name,http_ipv4,http_ipv6,http_ptr,http_info,http_target,http_port
3/24/2018 7:39,125.253.125.7,udp,5353,exim7.conet.com.vn,mdns,45538,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,staging.local.,125.253.125.7,fe80:0:0:0:250:56ff:febe:20a0,staging [00:50:56:be:20:a0]._workstation._tcp.local.,,,,,,,
3/24/2018 7:39,113.161.114.253,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_smb._tcp.local.; _http._tcp.local.; _afpovertcp._tcp.local.; _device-info._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:40,103.42.58.100,udp,5353,no-ptr.tgs.com.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,Server100.local.,103.42.58.100 103.42.58.88 103.42.58.99 103.42.58.103 103.42.58.139 103.42.58.179 103.42.58.200 103.,fe80:0:0:0:250:56ff:fea1:3ef9,Server100 [00:50:56:a1:3e:f9]._workstation._tcp.local.,,,,,,,
3/24/2018 7:40,101.96.108.4,udp,5353,essyslog1.netnam.vn,mdns,24173,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; ,nn2esSyslog1.local.,101.96.108.4,,nn2esSyslog1 [7a:ce:88:d1:9f:98]._workstation._tcp.local.,,,,,,,
3/24/2018 7:40,123.30.191.173,udp,5353,static.vnpt.vn,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _libvirt._tcp.local.; ,oradb2.local.,123.30.191.173,2001:ee0:301:1:26b6:fdff:fecf:4568,oradb2 [24:b6:fd:cf:45:68]._workstation._tcp.local.,,,,,,,
3/24/2018 7:42,113.161.78.122,udp,5353,static.vnpt.vn,mdns,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,elastix-01.local.,192.168.100.11,fe80:0:0:0:f68e:38ff:fe81:b945,elastix-01 [f4:8e:38:81:b9:45]._workstation._tcp.local.,,,,,,,
3/24/2018 7:42,103.237.147.156,udp,5353,,mdns,131414,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,hosting147156.local.,103.237.147.156,fe80:0:0:0:250:56ff:fe08:2eb,hosting147156 [00:50:56:08:02:eb]._workstation._tcp.local.,,,,,,,
3/24/2018 7:43,123.31.30.245,udp,5353,localhost,mdns,45899,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; ,HAproxy.local.,123.31.30.245,fe80:0:0:0:250:56ff:feac:bf1d,HAproxy [00:50:56:ac:bf:1d]._workstation._tcp.local.,,,,,,,
3/24/2018 7:44,125.212.253.27,udp,5353,,mdns,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,server.local.,125.212.253.27,fe80:0:0:0:250:56ff:fe03:1580,server [00:50:56:03:15:80]._workstation._tcp.local.,,,,,,,
3/24/2018 7:45,118.71.89.141,udp,5353,ip-address-pool-xxx.fpt.vn,mdns,18403,VN,HA NOI,HANOI,518111,737401,,,,_ssh._tcp.local.; _smb._tcp.local.; _http._tcp.local.; ,,,,,,,,,,,
3/24/2018 7:45,222.255.236.91,udp,5353,,mdns,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,,,,_workstation._tcp.local.; ,seesystem-2.local.,222.255.236.91,,seesystem-2 [00:50:56:b3:3a:6e]._workstation._tcp.local.,,,,,,,
3/24/2018 7:46,210.211.126.57,udp,5353,,mdns,38731,VN,HA NOI,HANOI,0,0,,,,_workstation._tcp.local.; _ssh._tcp.local.; _sftp-ssh._tcp.local.; ,abcabc.local.,210.211.126.57,,abcabc [00:01:f1:3d:bf:de]._workstation._tcp.local.,,,,,,,
