timestamp,ip,protocol,port,hostname,tag,version,asn,geo,region,city,naics,sic,pid,pointer_size,uptime,time,curr_connections,total_connections,sector
3/24/2018 7:15,115.146.121.232,tcp,11211,,memcached,1.4.4,38732,VN,HA NOI,HANOI,0,0,3113,64,2393616,15:37.0,13,14205485,Communications
3/24/2018 7:15,103.27.61.88,tcp,11211,,memcached,1.4.4,56150,VN,VINH LONG,TAN BINH,0,0,575,64,20031988,15:38.0,10,6543,Communications
3/24/2018 7:15,103.75.177.110,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14480,00:00.0,284,31585,Communications
3/24/2018 7:15,115.84.179.105,tcp,11211,,memcached,1.4.17,38731,VN,HA NOI,HANOI,0,0,25043,64,1832314,15:45.0,10,116,Communications
3/24/2018 7:15,103.75.177.116,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14480,00:00.0,284,31586,Communications
3/24/2018 7:15,45.125.236.171,tcp,11211,static.ftech.vn,memcached,1.4.4,45538,VN,HA NOI,HANOI,0,0,4472,64,10732893,15:38.0,10,1872069,Communications
3/24/2018 7:15,45.117.162.137,tcp,11211,,memcached,1.4.15,38731,VN,HA NOI,HANOI,0,0,881,64,27761872,13:36.0,10,605,Communications
3/24/2018 7:15,103.75.177.118,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14482,00:00.0,286,31589,Communications
3/24/2018 7:15,103.92.25.157,tcp,11211,,memcached,1.5.1,135915,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,973,64,102225,00:00.0,10,12,Communications
3/24/2018 7:15,45.119.83.49,tcp,11211,,memcached,1.4.4,131386,VN,HA NOI,HANOI,0,0,1677,64,967119,15:13.0,10,39,Communications
3/24/2018 7:15,146.196.65.13,tcp,11211,,memcached,1.4.15,45899,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1414,64,433047,15:34.0,10,3071,Information Technology
3/24/2018 7:15,103.54.250.195,tcp,11211,,memcached,1.4.4,7643,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1644,64,6140229,58:45.0,10,6399,Communications
3/24/2018 7:15,103.74.118.114,tcp,11211,,memcached,1.4.4,63759,VN,HA NOI,HANOI,0,0,1359,64,3987729,21:00.0,19,1287510,Communications
3/24/2018 7:15,150.95.105.182,tcp,11211,v150-95-105-182.a007.g.han1.static.cnode.io,memcached,1.4.15,131392,VN,HA NOI,HANOI,0,0,827,64,1033030,15:40.0,10,6108,Communications
3/24/2018 7:15,42.112.30.106,tcp,11211,,memcached,1.4.4,18403,VN,HA NOI,HANOI,518111,737401,1368,64,3942216,08:19.0,16,10860,Communications
3/24/2018 7:15,210.211.119.243,tcp,11211,,memcached,1.4.39,38731,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,4039,64,949236,00:00.0,9,171,Communications
3/24/2018 7:16,45.252.249.123,tcp,11211,,memcached,1.4.4,63760,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,1107,64,24405540,51:38.0,16,1759,Communications
3/24/2018 7:16,124.158.10.62,tcp,11211,mail.thienhaisoft.com,memcached,1.4.17,38733,VN,HA NOI,HANOI,0,0,2744,64,12976237,16:33.0,14,25194,Communications
3/24/2018 7:16,118.69.203.148,tcp,11211,,memcached,1.4.37,18403,VN,HA NOI,HANOI,518111,737401,60448,64,258434,00:00.0,14,18,Communications
3/24/2018 7:16,203.162.166.162,tcp,11211,,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,8597,64,7936776,16:36.0,10,356,Communications
3/24/2018 7:16,103.75.177.70,tcp,11211,,memcached,1.5.6,63762,VN,HO CHI MINH,THANH PHO HO CHI MINH,0,0,10894,64,14539,00:00.0,187,31903,Communications
3/24/2018 7:16,202.92.5.96,tcp,11211,,memcached,1.4.4,45899,VN,HA NOI,HANOI,0,0,1628,64,8965419,16:45.0,10,12763,Communications
