timestamp,ip,protocol,port,hostname,tag,header,asn,geo,region,city,systime,cache_control,location,server,search_target,unique_service_name,host,nts,nt,naics,sic,sector
3/25/2018 7:08,14.228.82.78,udp,38872,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:10:03 GMT",max-age=3600,http://192.168.1.64:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2020F-I-1_0-141610069::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,27.2.62.143,udp,38856,,ssdp,HTTP/1.1 200 OK,45543,VN,DA NANG,DA NANG,"Sun, 25 Mar 2018 07:08:39 GMT",max-age=1801,http://192.168.0.254:49152/wps_device.xml,"Unspecified, UPnP/1.0, Unspecified",upnp:rootdevice,uuid:7143599d-98e2-5e66-a094-2e037397f9bd::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,123.26.200.206,udp,34902,localhost,ssdp,HTTP/1.1 200 OK,45899,VN,HAI PHONG,HAI PHONG,"Sun, 25 Mar 2018 14:09:09 GMT",max-age=3600,http://192.168.1.10:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2410F-IW-1_0-571151811::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,115.78.128.236,udp,52232,,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,"Sun, 25 Mar 2018 07:06:55 GMT",max-age=100,http://192.168.1.32:49152/dvrdevicedesc.xml,"Linux/3.10.0, UPnP/1.0, Portable SDK for UPnP devices/1.6.6",upnp:rootdevice,uuid:Upnp-HDR-16-3c04bf05246e::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,222.254.137.93,udp,35416,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,QUANG TRI,QUANG TRI,"Sun, 25 Mar 2018 14:08:45 GMT",max-age=3600,http://192.168.1.65:49153/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2020F-IW-1_0-166386932::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,123.22.245.221,udp,1900,,ssdp,HTTP/1.1 200 OK,45899,VN,TRA VINH,TRA VINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e0d8-20a0-00e0-20a0-4888002808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e0d8-20a0-00e0-20a0-4888002808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,113.182.189.165,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,TRA VINH,TRA VINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e0d8-20a0-00e0-20a0-4888002808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e0d8-20a0-00e0-20a0-4888002808e0::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:08,14.190.96.148,udp,1900,static.vnpt.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Tue, 11 Dec 2007 09:13:18 GMT",max-age=1800,http://192.168.1.223:49152/description.xml,"Linux/2.6.5-it0, UPnP/1.0, Intel SDK for UPnP devices /1.2",upnp:rootdevice,uuid:{59765E24-0C12-4d20-BsdsEE-71578AE02CB9}_e0:61:b2:41:4d:26::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,222.252.6.196,udp,47254,static.vnpt-hanoi.com.vn,ssdp,HTTP/1.1 200 OK,45899,VN,HA NOI,HANOI,"Sun, 25 Mar 2018 14:07:39 GMT",max-age=3600,http://192.168.1.71:49152/upnpdevicedesc.xml,"Linux/3.0.8, UPnP/1.0, Portable SDK for UPnP devices/1.6.19",upnp:rootdevice,uuid:Upnp-DS-2CD2120F-I-1_0-741998777::upnp:rootdevice,,,,0,0,Communications
3/25/2018 7:09,171.249.3.51,udp,1900,,ssdp,HTTP/1.1 200 OK,7552,VN,HO CHI MINH,THANH PHO HO CHI MINH,,max-age=1800,http://192.168.1.1:5431/dyndev/uuid:0000e098-20a0-00e0-20a0-488800e808e0,Custom/1.0 UPnP/1.0 Proc/Ver,upnp:rootdevice,uuid:0000e098-20a0-00e0-20a0-488800e808e0::upnp:rootdevice,,,,0,0,Communications
